relation,display_relation,x_id,x_name,x_type,y_id,y_name,y_type
contraindication,contraindication,DB00839,Tolazamide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01132,Pioglitazone,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB00731,Nateglinide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
contraindication,contraindication,DB01016,Glyburide,drug,16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease
indication,indication,DB00959,Methylprednisolone,drug,6594,pemphigus,disease
indication,indication,DB03793,Benzoic acid,drug,6594,pemphigus,disease
indication,indication,DB00635,Prednisone,drug,6594,pemphigus,disease
contraindication,contraindication,DB00859,Penicillamine,drug,6594,pemphigus,disease
indication,indication,DB00860,Prednisolone,drug,6594,pemphigus,disease
indication,indication,DB00741,Hydrocortisone,drug,6594,pemphigus,disease
indication,indication,DB01380,Cortisone acetate,drug,6594,pemphigus,disease
indication,indication,DB14539,Hydrocortisone acetate,drug,6594,pemphigus,disease
indication,indication,DB01234,Dexamethasone,drug,6594,pemphigus,disease
off-label use,off-label use,DB00993,Azathioprine,drug,6594,pemphigus,disease
indication,indication,DB00443,Betamethasone,drug,6594,pemphigus,disease
indication,indication,DB02362,Aminobenzoic acid,drug,6594,pemphigus,disease
indication,indication,DB00620,Triamcinolone,drug,6594,pemphigus,disease
contraindication,contraindication,DB14512,Mometasone furoate,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00959,Methylprednisolone,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00588,Fluticasone propionate,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB01260,Desonide,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00394,Beclomethasone dipropionate,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00635,Prednisone,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB01222,Budesonide,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00970,Dactinomycin,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00860,Prednisolone,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00741,Hydrocortisone,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB01380,Cortisone acetate,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB14539,Hydrocortisone acetate,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB01234,Dexamethasone,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB08906,Fluticasone furoate,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00443,Betamethasone,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00180,Flunisolide,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB09345,Pramocaine,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00281,Lidocaine,drug,5608,varicella zoster infection,disease
contraindication,contraindication,DB00620,Triamcinolone,drug,5608,varicella zoster infection,disease
indication,indication,DB09096,Benzoyl peroxide,drug,4980,atopic eczema,disease
indication,indication,DB09096,Benzoyl peroxide,drug,11292,"dermatitis, atopic",disease
indication,indication,DB05219,Crisaborole,drug,4980,atopic eczema,disease
indication,indication,DB05219,Crisaborole,drug,11292,"dermatitis, atopic",disease
indication,indication,DB14512,Mometasone furoate,drug,4980,atopic eczema,disease
indication,indication,DB14512,Mometasone furoate,drug,11292,"dermatitis, atopic",disease
off-label use,off-label use,DB00341,Cetirizine,drug,4980,atopic eczema,disease
off-label use,off-label use,DB00341,Cetirizine,drug,11292,"dermatitis, atopic",disease
off-label use,off-label use,DB09115,Diiodohydroxyquinoline,drug,4980,atopic eczema,disease
off-label use,off-label use,DB09115,Diiodohydroxyquinoline,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00959,Methylprednisolone,drug,4980,atopic eczema,disease
indication,indication,DB00959,Methylprednisolone,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00588,Fluticasone propionate,drug,4980,atopic eczema,disease
indication,indication,DB00588,Fluticasone propionate,drug,11292,"dermatitis, atopic",disease
indication,indication,DB01130,Prednicarbate,drug,4980,atopic eczema,disease
indication,indication,DB01130,Prednicarbate,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00557,Hydroxyzine,drug,4980,atopic eczema,disease
indication,indication,DB00557,Hydroxyzine,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00591,Fluocinolone acetonide,drug,4980,atopic eczema,disease
indication,indication,DB00591,Fluocinolone acetonide,drug,11292,"dermatitis, atopic",disease
indication,indication,DB01260,Desonide,drug,4980,atopic eczema,disease
indication,indication,DB01260,Desonide,drug,11292,"dermatitis, atopic",disease
contraindication,contraindication,DB00431,Lindane,drug,4980,atopic eczema,disease
contraindication,contraindication,DB00431,Lindane,drug,11292,"dermatitis, atopic",disease
indication,indication,DB03904,Urea,drug,4980,atopic eczema,disease
indication,indication,DB03904,Urea,drug,11292,"dermatitis, atopic",disease
indication,indication,DB07615,Tranilast,drug,4980,atopic eczema,disease
indication,indication,DB07615,Tranilast,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00635,Prednisone,drug,4980,atopic eczema,disease
indication,indication,DB00635,Prednisone,drug,11292,"dermatitis, atopic",disease
indication,indication,DB06768,Ammonium lactate,drug,4980,atopic eczema,disease
indication,indication,DB06768,Ammonium lactate,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00288,Amcinonide,drug,4980,atopic eczema,disease
indication,indication,DB00288,Amcinonide,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00860,Prednisolone,drug,4980,atopic eczema,disease
indication,indication,DB00860,Prednisolone,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00741,Hydrocortisone,drug,4980,atopic eczema,disease
indication,indication,DB00741,Hydrocortisone,drug,11292,"dermatitis, atopic",disease
indication,indication,DB01380,Cortisone acetate,drug,4980,atopic eczema,disease
indication,indication,DB01380,Cortisone acetate,drug,11292,"dermatitis, atopic",disease
indication,indication,DB14539,Hydrocortisone acetate,drug,4980,atopic eczema,disease
indication,indication,DB14539,Hydrocortisone acetate,drug,11292,"dermatitis, atopic",disease
indication,indication,DB01234,Dexamethasone,drug,4980,atopic eczema,disease
indication,indication,DB01234,Dexamethasone,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00547,Desoximetasone,drug,4980,atopic eczema,disease
indication,indication,DB00547,Desoximetasone,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00443,Betamethasone,drug,4980,atopic eczema,disease
indication,indication,DB00443,Betamethasone,drug,11292,"dermatitis, atopic",disease
indication,indication,DB01047,Fluocinonide,drug,4980,atopic eczema,disease
indication,indication,DB01047,Fluocinonide,drug,11292,"dermatitis, atopic",disease
indication,indication,DB06786,Halcinonide,drug,4980,atopic eczema,disease
indication,indication,DB06786,Halcinonide,drug,11292,"dermatitis, atopic",disease
contraindication,contraindication,DB00755,Tretinoin,drug,4980,atopic eczema,disease
contraindication,contraindication,DB00755,Tretinoin,drug,11292,"dermatitis, atopic",disease
indication,indication,DB01013,Clobetasol propionate,drug,4980,atopic eczema,disease
indication,indication,DB01013,Clobetasol propionate,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00663,Flumethasone,drug,4980,atopic eczema,disease
indication,indication,DB00663,Flumethasone,drug,11292,"dermatitis, atopic",disease
contraindication,contraindication,DB01190,Clindamycin,drug,4980,atopic eczema,disease
contraindication,contraindication,DB01190,Clindamycin,drug,11292,"dermatitis, atopic",disease
indication,indication,DB01142,Doxepin,drug,4980,atopic eczema,disease
indication,indication,DB01142,Doxepin,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00846,Flurandrenolide,drug,4980,atopic eczema,disease
indication,indication,DB00846,Flurandrenolide,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00337,Pimecrolimus,drug,4980,atopic eczema,disease
indication,indication,DB00337,Pimecrolimus,drug,11292,"dermatitis, atopic",disease
contraindication,contraindication,DB00281,Lidocaine,drug,4980,atopic eczema,disease
contraindication,contraindication,DB00281,Lidocaine,drug,11292,"dermatitis, atopic",disease
off-label use,off-label use,DB06282,Levocetirizine,drug,4980,atopic eczema,disease
off-label use,off-label use,DB06282,Levocetirizine,drug,11292,"dermatitis, atopic",disease
off-label use,off-label use,DB00410,Mupirocin,drug,4980,atopic eczema,disease
off-label use,off-label use,DB00410,Mupirocin,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00620,Triamcinolone,drug,4980,atopic eczema,disease
indication,indication,DB00620,Triamcinolone,drug,11292,"dermatitis, atopic",disease
indication,indication,DB12159,Dupilumab,drug,4980,atopic eczema,disease
indication,indication,DB12159,Dupilumab,drug,11292,"dermatitis, atopic",disease
indication,indication,DB00864,Tacrolimus,drug,4980,atopic eczema,disease
indication,indication,DB00864,Tacrolimus,drug,11292,"dermatitis, atopic",disease
contraindication,contraindication,DB00492,Fosinopril,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00492,Fosinopril,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB13956,Estradiol valerate,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB13956,Estradiol valerate,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB01320,Fosphenytoin,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB01320,Fosphenytoin,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00857,Terbinafine,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00857,Terbinafine,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00381,Amlodipine,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00381,Amlodipine,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00178,Ramipril,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00178,Ramipril,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00542,Benazepril,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00542,Benazepril,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB01275,Hydralazine,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB01275,Hydralazine,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00754,Ethotoin,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00754,Ethotoin,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00881,Quinapril,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00881,Quinapril,drug,19725,pediatric systemic lupus erythematosus,disease
indication,indication,DB00959,Methylprednisolone,drug,7915,systemic lupus erythematosus (disease),disease
indication,indication,DB00959,Methylprednisolone,drug,19725,pediatric systemic lupus erythematosus,disease
off-label use,off-label use,DB00250,Dapsone,drug,7915,systemic lupus erythematosus (disease),disease
off-label use,off-label use,DB00250,Dapsone,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00367,Levonorgestrel,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00367,Levonorgestrel,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00593,Ethosuximide,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00593,Ethosuximide,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB05246,Methsuximide,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB05246,Methsuximide,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00310,Chlorthalidone,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00310,Chlorthalidone,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00722,Lisinopril,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00722,Lisinopril,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB01185,Fluoxymesterone,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB01185,Fluoxymesterone,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00436,Bendroflumethiazide,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00436,Bendroflumethiazide,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB01065,Melatonin,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB01065,Melatonin,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00150,Tryptophan,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00150,Tryptophan,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00603,Medroxyprogesterone acetate,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00603,Medroxyprogesterone acetate,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB13719,Trolnitrate,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB13719,Trolnitrate,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00717,Norethisterone,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00717,Norethisterone,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB01395,Drospirenone,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB01395,Drospirenone,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00612,Bisoprolol,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00612,Bisoprolol,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB09123,Dienogest,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB09123,Dienogest,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00165,Pyridoxine,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00165,Pyridoxine,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB01197,Captopril,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB01197,Captopril,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00721,Procaine,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00721,Procaine,drug,19725,pediatric systemic lupus erythematosus,disease
off-label use,off-label use,DB00563,Methotrexate,drug,7915,systemic lupus erythematosus (disease),disease
off-label use,off-label use,DB00563,Methotrexate,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00880,Chlorothiazide,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00880,Chlorothiazide,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00999,Hydrochlorothiazide,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00999,Hydrochlorothiazide,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00475,Chlordiazepoxide,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00475,Chlordiazepoxide,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00624,Testosterone,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00624,Testosterone,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB13943,Testosterone cypionate,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB13943,Testosterone cypionate,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB06710,Methyltestosterone,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB06710,Methyltestosterone,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00396,Progesterone,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00396,Progesterone,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00977,Ethinylestradiol,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00977,Ethinylestradiol,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00371,Meprobamate,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00371,Meprobamate,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00252,Phenytoin,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00252,Phenytoin,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00269,Chlorotrianisene,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00269,Chlorotrianisene,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00255,Diethylstilbestrol,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00255,Diethylstilbestrol,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB00968,Methyldopa,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB00968,Methyldopa,drug,19725,pediatric systemic lupus erythematosus,disease
contraindication,contraindication,DB01170,Guanethidine,drug,7915,systemic lupus erythematosus (disease),disease
contraindication,contraindication,DB01170,Guanethidine,drug,19725,pediatric systemic lupus erythematosus,disease
