id,name,type,source
20804,basal cell carcinoma,disease,MONDO
4993,mucosa of sigmoid colon,anatomy,UBERON
6962,male-specific antibacterial humoral response,biological_process,GO
23122,CLASP2,gene/protein,NCBI
4986,OPRK1,gene/protein,NCBI
4114,tympanic cavity,anatomy,UBERON
16211,ammonia ligase activity,molecular_function,GO
5036,mucosa of main bronchus,anatomy,UBERON
7256_18902_16216_3243,hepatocellular carcinoma,disease,MONDO_grouped
6210_891,fibrolamellar hepatocellular carcinoma,disease,MONDO_grouped
18055,pediatric hepatocellular carcinoma,disease,MONDO
18532,female deep inguinal ring,anatomy,UBERON
18533,crus of penis or clitoris,anatomy,UBERON
18534,nitrilotriacetate dehydrogenase activity,molecular_function,GO
5097,renal connecting tubule,anatomy,UBERON
5191,PEX7,gene/protein,NCBI
6610,tunica albuginea,anatomy,UBERON
5769,basement membrane of epithelium,anatomy,UBERON
1461,elbow,anatomy,UBERON
5982,RFC2,gene/protein,NCBI
7648_5017,diffuse gastric adenocarcinoma,disease,MONDO_grouped
4950,submucosa of lobar bronchus,anatomy,UBERON
879,cutaneous candidiasis,disease,MONDO
7448,VTN,gene/protein,NCBI
5492,hyaloid vessel,anatomy,UBERON
1628,DBP,gene/protein,NCBI
5915,RARB,gene/protein,NCBI
1405,spinalis thoracis muscle,anatomy,UBERON
17582,pituitary adenocarcinoma (disease),disease,MONDO
44211_44212_44213,idiopathic urticaria,disease,MONDO_grouped
4729,NDUFV2,gene/protein,NCBI
19086,late viral transcription,biological_process,GO
19340,dibenzofuran catabolic process,biological_process,GO
19562,localized scleroderma,disease,MONDO
4277,eye muscle,anatomy,UBERON
5717,PSMD11,gene/protein,NCBI
6544,kidney vasculature,anatomy,UBERON
1699,sensory root of facial nerve,anatomy,UBERON
6014,interdigital region between pedal digits,anatomy,UBERON
10096,ACTR3,gene/protein,NCBI
4901,right lung lobar bronchus mesenchyme,anatomy,UBERON
4215,back nerve,anatomy,UBERON
24294_24295,skin disease caused by infection,disease,MONDO_grouped
7763,ZFAND5,gene/protein,NCBI
5549,PRELP,gene/protein,NCBI
5086,hair follicle placode,anatomy,UBERON
5005,mucosa of left ureter,anatomy,UBERON
15277,kainate selective glutamate receptor activity,molecular_function,GO
15104,distal tarsal bone 1 pre-cartilage condensation,anatomy,UBERON
8296,3'-5'-exodeoxyribonuclease activity,molecular_function,GO
8295,feather barbule,anatomy,UBERON
5609,MAP2K7,gene/protein,NCBI
5131,growth hormone receptor binding,molecular_function,GO
607,BCL9,gene/protein,NCBI
6585,vestibular organ,anatomy,UBERON
6570,SLC18A1,gene/protein,NCBI
19558_4706,discoid lupus erythematosus,disease,MONDO_grouped
15574,trehalose transmembrane transporter activity,molecular_function,GO
4670_5282_19561,lupus erythematosus,disease,MONDO_grouped
19082,viral protein processing,biological_process,GO
6604,SMARCD3,gene/protein,NCBI
5883,neural tube lateral wall mantle layer,anatomy,UBERON
41008,obsolete contact dermatitis caused by poison oak,disease,MONDO
5124,metanephric proximal convoluted tubule,anatomy,UBERON
6614,SIGLEC1,gene/protein,NCBI
6617,SNAPC1,gene/protein,NCBI
18746,"phenanthrene-3,4-epoxide hydrolase activity",molecular_function,GO
20548,ocular pemphigoid,disease,MONDO
4497_6718_5976_2897_2896,syphilis,disease,MONDO_grouped
12004_15075_5034_5075_24622_6467,thyroid gland carcinoma,disease,MONDO_grouped
8713,pectoral girdle and thoracic body wall skeletal muscle,anatomy,UBERON
6521,SLC4A1,gene/protein,NCBI
15686,ferric triacetylfusarinine C import into cell,biological_process,GO
18368,processus ventrolateralis of thoracic vertebra,anatomy,UBERON
7082_12551_5340,alopecia areata,disease,MONDO_grouped
18056_6572_16767_43923_16769_16770,lichen planus,disease,MONDO_grouped
5082,tube lumen,anatomy,UBERON
5983,heart layer,anatomy,UBERON
2040,bronchial artery,anatomy,UBERON
19476,D-lysine catabolic process,biological_process,GO
15810,aspartate transmembrane transport,biological_process,GO
15811,L-cystine transport,biological_process,GO
15812,gamma-aminobutyric acid transport,biological_process,GO
18513,dibenzothiophene dihydrodiol dehydrogenase activity,molecular_function,GO
5898,RALA,gene/protein,NCBI
6244,hip joint primordium,anatomy,UBERON
6522,SLC4A2,gene/protein,NCBI
1795,DOCK3,gene/protein,NCBI
6468,FBXW4,gene/protein,NCBI
7958_17896,familial thyroid carcinoma,disease,MONDO_grouped
11578,familial papillary thyroid carcinoma with renal papillary neoplasia,disease,MONDO
15447,differentiated thyroid carcinoma,disease,MONDO
17895,familial papillary or follicular thyroid carcinoma,disease,MONDO
5440,ductus arteriosus,anatomy,UBERON
18843,embryonal carcinoma of the central nervous system,disease,MONDO
6383,SDC2,gene/protein,NCBI
43653,mitochondrial fragmentation involved in apoptotic process,biological_process,GO
8054_16367_1907,dermatomyositis,disease,MONDO_grouped
4592,pantoate-beta-alanine ligase activity,molecular_function,GO
18182,protein-heme linkage via 3'-L-histidine,biological_process,GO
5714_5821_333,congenital syphilis,disease,MONDO_grouped
4944,submucosa of trigone of urinary bladder,anatomy,UBERON
927,mesectoderm,anatomy,UBERON
5822_40923_40922,latent syphilis,disease,MONDO_grouped
7039_7245_18975_21061_8075,neurofibromatosis,disease,MONDO_grouped
12521,herpes simplex encephalitis,disease,MONDO
5770,PTPN1,gene/protein,NCBI
6598,SMARCB1,gene/protein,NCBI
5859,QARS1,gene/protein,NCBI
4525,cardiac muscle tissue of trabecula carnea of right ventricle,anatomy,UBERON
1951,CELSR3,gene/protein,NCBI
4989,mucosa of appendix,anatomy,UBERON
11026_11218_14011_33091_11680_14009_9441_15018_12847_11485_33092_9439_14010_13495_9443_17265,autosomal recessive congenital ichthyosis,disease,MONDO_grouped
19269,gray matter of diencephalon,anatomy,UBERON
15947_17262_17263,inherited ichthyosis,disease,MONDO_grouped
7417,peduncle of neuraxis,anatomy,UBERON
23297,guttate psoriasis,disease,MONDO
22205,pustular psoriasis,disease,MONDO
17778,lamellar ichthyosis,disease,MONDO
15085,distal carpal bone 1 cartilage,anatomy,UBERON
8273,SLC10A3,gene/protein,NCBI
20576,cutaneous vasculitis,disease,MONDO
2898,chiasmatic cistern,anatomy,UBERON
2531,KDSR,gene/protein,NCBI
7116,primary dentition,anatomy,UBERON
16419,bony part of vertebral arch,anatomy,UBERON
16266,O-glycan processing,biological_process,GO
16267,"O-glycan processing, core 1",biological_process,GO
21948,inward migration of deep nuclear neurons,biological_process,GO
15748,organophosphate ester transport,biological_process,GO
43771,cytidine kinase activity,molecular_function,GO
15573,beta-glucoside transmembrane transporter activity,molecular_function,GO
4907,lower digestive tract,anatomy,UBERON
2154,lateral reticular nucleus,anatomy,UBERON
2120,pronephros,anatomy,UBERON
2512,FTL,gene/protein,NCBI
17884,papillary renal cell carcinoma,disease,MONDO
8661,EIF3A,gene/protein,NCBI
6605,SMARCE1,gene/protein,NCBI
254,C-4 methylsterol oxidase activity,molecular_function,GO
6206,RPS12,gene/protein,NCBI
19509,L-methionine salvage from methylthioadenosine,biological_process,GO
1290,proximal straight tubule,anatomy,UBERON
10150_4958_5096_6082_500_514,squamous cell carcinoma,disease,MONDO_grouped
17305,syndromic oculocutaneous albinism,disease,MONDO
18136,maxillary fenestra,anatomy,UBERON
18137,premaxillary fenestra,anatomy,UBERON
242,ALOX12B,gene/protein,NCBI
2967,GTF2H3,gene/protein,NCBI
5153,epithelial bud,anatomy,UBERON
536,pharyngeal squamous cell carcinoma,disease,MONDO
5595,MAPK3,gene/protein,NCBI
41751,multibacillary leprosy,disease,MONDO
6474,Brodmann (1909) area 30,anatomy,UBERON
19210,pole of lens,anatomy,UBERON
11934_23273,dermatofibrosarcoma protuberans,disease,MONDO_grouped
18500,"trans-9R,10R-dihydrodiolphenanthrene dehydrogenase activity",molecular_function,GO
4712,NDUFB6,gene/protein,NCBI
43106,ichthyosis linearis circumflexa,disease,MONDO
41752,paucibacillary leprosy,disease,MONDO
19810,putrescine binding,molecular_function,GO
6541,outer medulla inner stripe loop of Henle,anatomy,UBERON
7554_7551_7555_7550_14661_9181_18747_15551_19276_15550_17610_11869,epidermolysis bullosa simplex,disease,MONDO_grouped
19290,accessory olfactory bulb internal plexiform layer,anatomy,UBERON
18351,precerebral fontanelle,anatomy,UBERON
18352,prismatic cartilage,anatomy,UBERON
4953,ODC1,gene/protein,NCBI
5590,PRKCZ,gene/protein,NCBI
6526,right lung alveolar system,anatomy,UBERON
14076_13519_9136_14600_13520_27353,"dyskeratosis congenita, autosomal recessive",disease,MONDO_grouped
11870,pisotriquetral joint,anatomy,UBERON
12345,acral peeling skin syndrome,disease,MONDO
32659,regulation of interleukin-16 production,biological_process,GO
7447,VSNL1,gene/protein,NCBI
32914_12748_14030_14215_14193_13854_14123_12978_12088_32664_13174_9484_32757_32874_32637_14192_13979_12906_14465_13434_14909_32872_13525_14202_14750_14910_54843_13940_14211_14216_32924_12918_14378_14203_12979_12085_12571_14657_13435_11718_33204_16575_12087_12844,primary ciliary dyskinesia,disease,MONDO_grouped
14555_54852_24548_14923_11937_19347,peeling skin syndrome,disease,MONDO_grouped
18855_21036,keratosis pilaris,disease,MONDO_grouped
7048,TGFBR2,gene/protein,NCBI
11881_13034,keratosis palmoplantaris striata,disease,MONDO_grouped
12500_13739_19557,chilblain lupus,disease,MONDO_grouped
10032,anterior part of tongue,anatomy,UBERON
11020,IFT27,gene/protein,NCBI
10229,ruminant esophageal groove,anatomy,UBERON
24522_54765_13502_15301,primary cutaneous amyloidosis,disease,MONDO_grouped
8676_14346,white sponge nevus,disease,MONDO_grouped
8121,ubiquinol-cytochrome-c reductase activity,molecular_function,GO
9161,ribonucleoside monophosphate metabolic process,biological_process,GO
19308_9182_17612,junctional epidermolysis bullosa,disease,MONDO_grouped
19309,mannose catabolic process,biological_process,GO
9179_7552_15553_11398_7549_9178_15552_17608_6543,dystrophic epidermolysis bullosa,disease,MONDO_grouped
19310_19522,recessive dystrophic epidermolysis bullosa,disease,MONDO_grouped
10208,USPL1,gene/protein,NCBI
12258,epidermolysis bullosa simplex with circinate migratory erythema,disease,MONDO
44637,"envenomation resulting in negative regulation of complement activation, classical pathway in other organism",biological_process,GO
15341,zinc efflux active transmembrane transporter activity,molecular_function,GO
11707,familial dyskinesia and facial myokymia,disease,MONDO
10652,YKT6,gene/protein,NCBI
18360,suborbital foramen,anatomy,UBERON
8353,H3C6,gene/protein,NCBI
15072,liver neuroendocrine carcinoma,disease,MONDO
19560,histidine catabolic process to hydantoin-5-propionate,biological_process,GO
9444,QKI,gene/protein,NCBI
8109,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity",molecular_function,GO
8492,PRSS12,gene/protein,NCBI
14755,P5 area of pallium (Myxiniformes),anatomy,UBERON
7965,AIMP2,gene/protein,NCBI
7084,TK2,gene/protein,NCBI
7782,SLC30A4,gene/protein,NCBI
10662,regulation of striated muscle cell apoptotic process,biological_process,GO
7314,superior external pudendal artery,anatomy,UBERON
12807_9183,epidermolysis bullosa simplex with pyloric atresia,disease,MONDO_grouped
8160,protein tyrosine phosphatase activator activity,molecular_function,GO
15006,"generalized basal epidermolysis bullosa simplex with skin atrophy, scarring and hair loss",disease,MONDO
7756,ZNF207,gene/protein,NCBI
9578,myelencephalon sulcus limitans,anatomy,UBERON
7967,melanoma and neural system tumor syndrome,disease,MONDO
13521_13522_14690_7485,"dyskeratosis congenita, autosomal dominant",disease,MONDO_grouped
60457,negative regulation of digestive system process,biological_process,GO
9420,CYP7B1,gene/protein,NCBI
13136,vein of lip,anatomy,UBERON
7809,fascia of Camper,anatomy,UBERON
12446,seborrhea-like dermatitis with psoriasiform elements,disease,MONDO
9534,ZNF254,gene/protein,NCBI
13806,familial cutaneous telangiectasia and oropharyngeal predisposition cancer syndrome,disease,MONDO
9902,MRC2,gene/protein,NCBI
8778,SIGLEC5,gene/protein,NCBI
8757_19080,alopecia universalis,disease,MONDO_grouped
9545,RAB3D,gene/protein,NCBI
14218,severe dermatitis-multiple allergies-metabolic wasting syndrome,disease,MONDO
12874_13868_8293_14479_11900_12857,porokeratosis disseminated superficial actinic,disease,MONDO_grouped
9085,CDY1,gene/protein,NCBI
14327,autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering,disease,MONDO
32685,negative regulation of granulocyte macrophage colony-stimulating factor production,biological_process,GO
13176,phonic lip,anatomy,UBERON
14834,skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,biological_process,GO
8097,5S rRNA binding,molecular_function,GO
14089,corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome,disease,MONDO
8634,RTCA,gene/protein,NCBI
9848,zona limitans intrathalamica,anatomy,UBERON
7857,SCG2,gene/protein,NCBI
9446,GSTO1,gene/protein,NCBI
9518_11860_12358_12595_13185_13257,"leprosy, susceptibility to",disease,MONDO_grouped
8985,PLOD3,gene/protein,NCBI
9184,BUB3,gene/protein,NCBI
32614_32666_32644_32667,"epidermodysplasia verruciformis, susceptibility to",disease,MONDO_grouped
13398_7728_13397_24516,familial acne inversa,disease,MONDO_grouped
9051,gelatinous nucleus of solitary tract,anatomy,UBERON
14574,peeling skin-leukonuchia-acral punctate keratoses-cheilitis-knuckle pads syndrome,disease,MONDO
7265_14114_14112_14113_15280,cardiofaciocutaneous syndrome,disease,MONDO_grouped
12495,"spondyloepimetaphyseal dysplasia, Genevieve type",disease,MONDO
11169,postorbital bone,anatomy,UBERON
12276,endometrium glandular epithelium,anatomy,UBERON
7557,regulation of juvenile hormone biosynthetic process,biological_process,GO
14368_14056_12183_7963_13133_11954_13510,"melanoma, cutaneous malignant, susceptibility to",disease,MONDO_grouped
14680_13075_24563_13921_13920,"herpes simplex encephalitis, susceptibility to",disease,MONDO_grouped
9792,embryo development ending in birth or egg hatching,biological_process,GO
15278,calcium-release channel activity,molecular_function,GO
8103,oocyte microtubule cytoskeleton polarization,biological_process,GO
7619,limiting membrane of retina,anatomy,UBERON
11287,rostral organ,anatomy,UBERON
12629_7326_15427,paroxysmal dyskinesia,disease,MONDO_grouped
24552_10494_10474,linear skin defects with multiple congenital anomalies,disease,MONDO_grouped
7850,IL1R2,gene/protein,NCBI
13743,base of crypt of Lieberkuhn of small intestine,anatomy,UBERON
8093,cytoskeletal anchor activity,molecular_function,GO
13693_14481_17411,neonatal inflammatory skin and bowel disease,disease,MONDO_grouped
9540_9645,chronic mucocutaneous candidiasis,disease,MONDO_grouped
14643,spinocerebellum,anatomy,UBERON
12570,body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency,disease,MONDO
10330,eyelid mesenchyme,anatomy,UBERON
7184_5339_10410_12899,androgenetic alopecia,disease,MONDO_grouped
7966,susceptibility to uveal melanoma,disease,MONDO
14704,pleuroperitoneal canal lumen,anatomy,UBERON
7556,ZNF10,gene/protein,NCBI
14713,negative regulation of branchiomeric skeletal muscle development,biological_process,GO
8418,CMAHP,gene/protein,NCBI
9093,DNAJA3,gene/protein,NCBI
7553,ZNF7,gene/protein,NCBI
14912,thalamic eminence,anatomy,UBERON
11713,Left bundle branch block,effect/phenotype,HPO
10622_17264,recessive X-linked ichthyosis,disease,MONDO_grouped
7494_12603_44202,episodic kinesigenic dyskinesia,disease,MONDO_grouped
11472,ventral lateral sacrocaudal muscle,anatomy,UBERON
14281,"cholangiocarcinoma, susceptibility to",disease,MONDO
11462,pyogenic arthritis-pyoderma gangrenosum-acne syndrome,disease,MONDO
7811,craniocervical region,anatomy,UBERON
11245,infra-orbital canal of maxilla,anatomy,UBERON
7083_8923,palmoplantar keratoderma and congenital alopecia,disease,MONDO_grouped
10189,right atrium venous valve,anatomy,UBERON
9445,ITM2B,gene/protein,NCBI
7108_2941_3199_4707,anal carcinoma,disease,MONDO_grouped
9773_17134,odonto-onycho dysplasia-alopecia,disease,MONDO_grouped
8311,penile bulb artery,anatomy,UBERON
11352,"neuroendocrine carcinoma of salivary glands, sensorineural hearing loss, and enamel hypoplasia",disease,MONDO
10982,latissimus dorsi pre-muscle mass,anatomy,UBERON
9602,left lung associated mesenchyme,anatomy,UBERON
14896,transversely striated somatic muscle,anatomy,UBERON
8562,DENR,gene/protein,NCBI
19475,L-lysine catabolic process to acetate,biological_process,GO
54754,"encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8",disease,MONDO
8095,nevus anemicus (disease),disease,MONDO
11722,intellectual disability-obesity-prognathism-eye and skin anomalies syndrome,disease,MONDO
11874,amphiarthrosis,anatomy,UBERON
8924,sublaminar layer S3,anatomy,UBERON
8251,water vascular system,anatomy,UBERON
9536,vascular element of left lung,anatomy,UBERON
10623,POLR3C,gene/protein,NCBI
13626,medial metatarsal pad,anatomy,UBERON
11500,Becker nevus syndrome,disease,MONDO
8108,UDP-glucose:hexose-1-phosphate uridylyltransferase activity,molecular_function,GO
7569,cell aging,biological_process,GO
13759,internal cervical os,anatomy,UBERON
9195,anal membrane,anatomy,UBERON
7271,appendage musculature,anatomy,UBERON
14180,epidermolysis bullosa simplex due to BP230 deficiency,disease,MONDO
11269,DDX19B,gene/protein,NCBI
9328,GTF3C5,gene/protein,NCBI
7856,palmoplantar keratoderma-esophageal carcinoma syndrome,disease,MONDO
8290,afterfeather,anatomy,UBERON
8734,L-aspartate oxidase activity,molecular_function,GO
14793,musculature of pectoral complex,anatomy,UBERON
10638,positive regulation of organelle organization,biological_process,GO
9838,abscission,biological_process,GO
33642,modulation by symbiont of host response to gravitational stimulus,biological_process,GO
12190,T-cell lymphoma,effect/phenotype,HPO
11132,intercarpal joint,anatomy,UBERON
21035_13492_12487_30009,alopecia-intellectual disability syndrome,disease,MONDO_grouped
7964,dysplastic nevus syndrome,disease,MONDO
7810,autosomal dominant ichthyosis vulgaris,disease,MONDO
7445,determination of imaginal disc primordium,biological_process,GO
9088,PKMYT1,gene/protein,NCBI
9447,AIM2,gene/protein,NCBI
13073,rattle,anatomy,UBERON
9177,HTR3B,gene/protein,NCBI
13074,cornual diverticulum,anatomy,UBERON
22113,central centrifugal cicatricial alopecia,disease,MONDO
8826,pulmonary surfactant,anatomy,UBERON
7902,Vitreous hemorrhage,effect/phenotype,HPO
7854,keratolytic winter erythema,disease,MONDO
7855,FZD5,gene/protein,NCBI
9306,SOCS6,gene/protein,NCBI
8841,suspensory ligament,anatomy,UBERON
7085,alopecia-epilepsy-pyorrhea-intellectual disability syndrome,disease,MONDO
13268,frontonasal dysplasia with alopecia and genital anomaly,disease,MONDO
7812,CSDE1,gene/protein,NCBI
11019,LIAS,gene/protein,NCBI
7239,tunica media of artery,anatomy,UBERON
8291,down feather,anatomy,UBERON
9449,gamma-aminobutyric acid biosynthetic process,biological_process,GO
13881,congenital nephrotic syndrome - interstitial lung disease - epidermolysis bullosa syndrome,disease,MONDO
14527,posterior limb of internal capsule,anatomy,UBERON
7187,pericardial parietal mesothelium,anatomy,UBERON
10456,HAX1,gene/protein,NCBI
9513,FXR2,gene/protein,NCBI
8219,cell death,biological_process,GO
14014,negative regulation of gliogenesis,biological_process,GO
7128,TNFAIP3,gene/protein,NCBI
14494,"psoriasis 15, pustular, susceptibility to",disease,MONDO
9717,SEC14L5,gene/protein,NCBI
12323,lethal acantholytic epidermolysis bullosa,disease,MONDO
10976,positive regulation of neuron projection development,biological_process,GO
7899,lichen sclerosus et atrophicus,disease,MONDO
44792,large congenital melanocytic nevus,disease,MONDO
10587,TXNRD2,gene/protein,NCBI
10462,CLEC10A,gene/protein,NCBI
7813,EVI5,gene/protein,NCBI
7651,anatomical junction,anatomy,UBERON
10584,pedal digit 5 phalanx pre-cartilage condensation,anatomy,UBERON
8632,DNAH17,gene/protein,NCBI
9956,corpuscle of de Quatrefage,anatomy,UBERON
14873,distal epiphysis of distal phalanx of pedal digit 3,anatomy,UBERON
11775_14902_8067,"nasopharyngeal carcinoma, susceptibility to",disease,MONDO_grouped
7203,CCT3,gene/protein,NCBI
12530,palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome,disease,MONDO
7570,ZNF22,gene/protein,NCBI
18657,pupal case,anatomy,UBERON
8754,ADAM9,gene/protein,NCBI
7446,imaginal disc growth,biological_process,GO
10842,PPP1R17,gene/protein,NCBI
11024,LILRA1,gene/protein,NCBI
11882,skin fragility-woolly hair-palmoplantar keratoderma syndrome,disease,MONDO
8334_13554_11084_11387_11434_11542_11573_11926_12542_12896_12959_13057,psoriasis susceptibility to,disease,MONDO_grouped
9150,CTDP1,gene/protein,NCBI
54697,immunodeficiency 11b with atopic dermatitis,disease,MONDO
12369_12835_10433_11138_11520_11560_11807_11942_11943_11944_12036_12361_12403_12404_12584_12834_12836_12884_13152,"systemic lupus erythematosus, susceptibility to",disease,MONDO_grouped
9180_19307_16673,"junctional epidermolysis bullosa, non-Herlitz type",disease,MONDO_grouped
13760,external cervical os,anatomy,UBERON
8096,juvenile hormone epoxide hydrolase activity,molecular_function,GO
7808,adipose tissue of abdominal region,anatomy,UBERON
9095,tip of renal papilla,anatomy,UBERON
20738_7990,multiple benign circumferential skin creases on limbs,disease,MONDO_grouped
7486,fluid-based anatomical entity,anatomy,UBERON
12387,Bronchitis,effect/phenotype,HPO
7766,ZNF223,gene/protein,NCBI
10637,LEFTY1,gene/protein,NCBI
13018,"keratosis follicularis spinulosa decalvans, autosomal dominant",disease,MONDO
7547,ZIC3,gene/protein,NCBI
10517,cephalic clasper,anatomy,UBERON
9450,LY86,gene/protein,NCBI
8884,left putamen,anatomy,UBERON
8094,"ATPase, acting on DNA",molecular_function,GO
11684,levator palatoquadrati,anatomy,UBERON
16474,sodium ion-transporting V-type ATPase complex,cellular_component,GO
18103,posterior fascicle of palatopharyngeus,anatomy,UBERON
19314_19023_2726,cutaneous mastocytosis,disease,MONDO_grouped
19315_17243,diffuse cutaneous mastocytosis,disease,MONDO_grouped
19316,D-allose catabolic process,biological_process,GO
16358,dendrite development,biological_process,GO
19945_6599,urticaria,disease,MONDO_grouped
18025,calmodulin-lysine N-methyltransferase activity,molecular_function,GO
6451,fourth lumbar spinal cord segment,anatomy,UBERON
17837,multiple sclerosis-ichthyosis-factor VIII deficiency syndrome,disease,MONDO
18873,atrazine metabolic process,biological_process,GO
6602,SMARCD1,gene/protein,NCBI
18748,iprodione amidohydrolase activity,molecular_function,GO
15428,choroidal atrophy-alopecia syndrome,disease,MONDO
16356,diffuse cutaneous systemic sclerosis,disease,MONDO
8756,ADAM7,gene/protein,NCBI
18051,C-terminal peptidyl-tryptophan amidation,biological_process,GO
17381_42971,congenital herpes virus infection,disease,MONDO_grouped
6639,crus of penis,anatomy,UBERON
17275,spastic paraplegia-facial-cutaneous lesions syndrome,disease,MONDO
16379,erosive pustular dermatosis of the scalp,disease,MONDO
20550,auricular blood vessel,anatomy,UBERON
5580,rhombomere 5 lateral wall,anatomy,UBERON
3345,proepicardium cell migration involved in pericardium morphogenesis,biological_process,GO
5028_3186_3550,esophageal adenosquamous carcinoma,disease,MONDO_grouped
19323,pentose catabolic process,biological_process,GO
19324,intraorbital lacrimal gland,anatomy,UBERON
16775,"phosphotransferase activity, nitrogenous group as acceptor",molecular_function,GO
19526,pentitol biosynthetic process,biological_process,GO
18856,benzoyl acetate-CoA ligase activity,molecular_function,GO
6558,SLC12A2,gene/protein,NCBI
19436,sophorosyloxydocosanoate catabolic process,biological_process,GO
12508,Golgi to ER transport vesicle membrane,cellular_component,GO
10672,GNA13,gene/protein,NCBI
18115,left renal pelvis,anatomy,UBERON
16831_19319,verrucous nevus syndrome,disease,MONDO_grouped
12089,ichthyosis prematurity syndrome,disease,MONDO
17614,cingulum of molar tooth,anatomy,UBERON
15293,symporter activity,molecular_function,GO
34104,negative regulation of tissue remodeling,biological_process,GO
19615,"catechol catabolic process, ortho-cleavage",biological_process,GO
15279,store-operated calcium channel activity,molecular_function,GO
7757,ZNF208,gene/protein,NCBI
18974,"2,4,6-trinitrotoluene metabolic process",biological_process,GO
2735,GLI1,gene/protein,NCBI
4132,trigeminal sensory nucleus,anatomy,UBERON
19141,2-dehydropantolactone reductase (B-specific) activity,molecular_function,GO
5563,trigeminal neural crest,anatomy,UBERON
12727,mucocutaneous lymph node syndrome,disease,MONDO
15082,proximal tarsal cartilage,anatomy,UBERON
16514,cavity of left ventricle,anatomy,UBERON
19087,cholangiocarcinoma,disease,MONDO
19076,viral release from host cell,biological_process,GO
17772,oral erosive lichen,disease,MONDO
16031,tRNA import into mitochondrion,biological_process,GO
6486,Brodmann (1909) area 52,anatomy,UBERON
18961,pentachlorophenol metabolic process,biological_process,GO
19199,lateral side of chest,anatomy,UBERON
16574,lamina III of gray matter of spinal cord,anatomy,UBERON
18577,upper third secondary molar tooth,anatomy,UBERON
17242,cutaneous collagenous vasculopathy,disease,MONDO
17244,pseudoxanthomatous diffuse cutaneous mastocytosis,disease,MONDO
18887,4-carboxy-4'-sulfoazobenzene metabolic process,biological_process,GO
18879,biphenyl metabolic process,biological_process,GO
18086,ulerythema ophryogenesis,disease,MONDO
18203,peptidyl-isoleucine modification,biological_process,GO
19212,supcapsular region of posterior region of lens,anatomy,UBERON
18683,lumbar splanchnic nerve,anatomy,UBERON
16417,S-acyltransferase activity,molecular_function,GO
15780,nucleotide-sugar transmembrane transport,biological_process,GO
15782,CMP-N-acetylneuraminate transmembrane transport,biological_process,GO
19289,accessory olfactory bulb external plexiform layer,anatomy,UBERON
6181,RPLP2,gene/protein,NCBI
5667,connecting stalk mesoderm,anatomy,UBERON
3362,epithelium of endolymphatic duct,anatomy,UBERON
